Archetype,Type,Who they are,What the button solves for them,Marketing score (1-100),Why that score,Further considerations,Gap idea 1 (not in the button today),Gap idea 2,Gap idea 3
Home producers / bedroom musicians,Identity,"Solo writers and producers in a DAW most evenings. Own an interface, maybe a controller.","One press arms record, drops a marker, or taps tempo without leaving the take. The light is a tally you can see from the vocal booth.",88,"Deepest working feature set already (MIDI, OSC, MCU feedback, tempo follow) and a buyer who already spends on desk hardware. Proof exists; only the story is missing.","Needs a per-DAW setup path, not a MIDI-learn maze. Ableton/Studio One/Logic each want their own scene. The DAW rig test (TODO 77) has never run on real hardware.",A punch-in/out app that reads the DAW's loop points back,Take counter that names each take in the DAW,A metronome that flashes the count-in and then gets out of the way
Gigging / live performers,Identity,"Playing out. Backing tracks, patch changes, in-ear cues.","A hand- or foot-reachable cue that changes patch, starts a track, or flashes the next section to the band.",72,"Real money and real pain, but stage reliability is a hardware promise the current build cannot make (no enclosure, BLE only, no battery story).","Latency and dropout are pass/fail on stage, not annoyances. Needs the standalone path (TODO 111) proven before it can be sold here.","Setlist app: one press advances the song, the light shows the next key",Silent cue to the drummer - a second button that only flashes,Panic button that kills the backing track
Streamers & content creators,Identity,"Twitch/YouTube/TikTok. OBS, alerts, a busy desk, an audience that sees the desk.","One press toggles scene, mute, or the on-air light. The LED is the on-air light, and it is on camera.",90,"Highest here: the product is visible in every frame, the audience is the ad, and webhook support exists already. A creator button is a category people already buy.","Deck-style competitors are entrenched and cheap; the wedge is the light being a prop, not the macro count. OBS websocket should be a first-class action, not a webhook.","Native OBS websocket action (scene, mute, replay buffer)",Chat-triggered reflex - light reacts to subs/donations,"A follower/goal readout rendered on the LED, not a screen"
PC gamers,Identity,"Keyboard-and-mouse, Discord, macros, a lit desk.","A physical push-to-talk, a macro key outside the keyboard, and a light that means something in-game.",78,"Big, reachable, spends on peripherals. HID keys already ship. The multi-button ideas (TODO 116) land hardest here.",Anti-cheat blocks anything resembling input automation in some titles - check before promising macros. Latency budget matters.,Game-state reflex: health/cooldown drives the light via a game API,A push-to-talk that shows mute state without alt-tabbing,Multi-button macro pad with apps unlocked at N (TODO 116)
Tabletop / D&D game masters,Identity,"Weekly game night, prints their own handouts, buys dice they do not need.","A table-side prop that sets the mood light, tracks initiative, and rolls a hidden result.",74,"Small but ferociously spendy and community-driven. The button reads as an artefact at the table, which is the whole sale.","Hobby buys travel by word of mouth, not ads - seed to DMs, not to a demographic. Needs the light library (TODO 113) for mood presets to be worth anything.","Initiative tracker: a press advances the turn, the light names whose it is",Hidden dice roll - the light tells only the GM the result,Scene mood presets a player can trigger from across the table
Tinkerers & makers,Identity,"Soldering iron on the desk, an ESP32 in a drawer, reads the schematic before the manual.",An open scriptable reflashable button that does not hide anything.,85,"Closest to who this was built for. They forgive rough edges, write the missing integrations, and become the app bank.","They will not pay a premium for a closed product - open firmware and a documented protocol are the offer. Undercut risk is real: they can build one for parts cost, so the value has to be the software.",A scripting/expression layer in the app runtime (already on the roadmap),GPIO/expansion header so the button drives their own hardware,Community app packages - install someone else's .pkg over BLE
Developers & on-call engineers,Identity,"CI, PRs, pagers, a terminal that never closes.",A build light and a one-press acknowledge. The LED is a CI status you cannot tab away from.,66,"Genuine everyday utility and an easy demo, but this crowd builds rather than buys and the budget is personal, not company.",Corporate MDM makes BLE dongles and background services awkward on work laptops. Webhook polling (TODO 99) is the enabling piece.,Poll a CI/PR endpoint and render the state (TODO 99/100),"Acknowledge a page with one press, escalate on long press",A focus/interrupt light your team can see in a shared office
Remote & hybrid desk workers,Identity,"Calls all day, a home office door people walk through.","A do-not-disturb light with one press, and a mute key that is not buried in a window.",71,"Enormous market, obvious use, but crowded by cheap busy-lights. The button wins by also being everything else.",Calendar and meeting-state integration is the difference between a light and a toy - and that needs the secret store (TODO 96) first.,Calendar-driven light: turns red on its own when a meeting starts,Global mute for Zoom/Teams/Meet with state shown on the LED,"A household-visible signal: one button on the desk, one on the door"
ADHD & neurodivergent users,Identity,"Time-blind, task-switch cost is real, hates apps that nag from a screen.","An off-screen single-purpose object: start a timer with one press, see time passing as light instead of numbers.",82,"High intent, high word-of-mouth, and the core strength (physical, off-screen, one decision) is exactly the accommodation. Pomodoro and countdown already ship.","Sell as a tool, not a treatment - avoid medical claims entirely. This community is sensitive to being marketed at.",A visual time-remaining ramp anyone can read across a room,A body-double / co-working session light shared with a friend,Task capture: press to log 'I switched' without opening anything
Parents,Identity,"Bedtime routines, chore charts, a household that ignores reminders.","A kid-legible signal that is not a screen: green means go, red means bed.",69,"Real recurring pain and an easy story, but price sensitivity is high and durability matters more than features.",Anything a child touches needs an enclosure and a safety story. Multi-button (TODO 116) is what makes the household version work.,Routine app: a sequence of steps a child taps through,A quiet-hours reflex - the light changes when the house should be calm,A chore chart the counter's readout already almost is
